epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,2461.88,0.73225,0.40536,1.04814,0.98405,0.98856,0.99434,0.87127,0.60581,0.28838,0.96892,0.0001486,0.0001486,0.0001486
131,2478.71,0.74586,0.41131,1.05369,0.98427,0.99039,0.99434,0.87213,0.60086,0.28778,0.96222,0.000142,0.000142,0.000142
132,2495.08,0.73227,0.40081,1.04319,0.98511,0.99121,0.99425,0.87407,0.59065,0.28285,0.95869,0.0001354,0.0001354,0.0001354
133,2511.23,0.72036,0.40196,1.03991,0.98468,0.98926,0.99412,0.87103,0.60413,0.28717,0.96441,0.0001288,0.0001288,0.0001288
134,2527.91,0.71543,0.39371,1.03816,0.98228,0.99205,0.99424,0.87443,0.59526,0.28428,0.96024,0.0001222,0.0001222,0.0001222
135,2544.89,0.71397,0.39511,1.04132,0.98583,0.98768,0.99432,0.87681,0.58982,0.28316,0.95781,0.0001156,0.0001156,0.0001156
136,2561.36,0.70799,0.39172,1.03896,0.98085,0.99114,0.99425,0.87494,0.59169,0.2831,0.95923,0.000109,0.000109,0.000109
137,2577.92,0.714,0.39543,1.04002,0.98673,0.98792,0.99433,0.88037,0.57986,0.28078,0.95597,0.0001024,0.0001024,0.0001024
138,2595.36,0.70983,0.38822,1.03562,0.98586,0.98997,0.9943,0.87774,0.58281,0.28023,0.95718,9.58e-05,9.58e-05,9.58e-05
139,2616.25,0.70251,0.38212,1.03462,0.98503,0.99238,0.99433,0.88437,0.5693,0.27569,0.95032,8.92e-05,8.92e-05,8.92e-05
140,2639.26,0.70362,0.38685,1.03143,0.98283,0.98925,0.99429,0.87825,0.57726,0.27927,0.95343,8.26e-05,8.26e-05,8.26e-05
141,2723.12,0.7529,0.37748,1.07241,0.98038,0.985,0.9939,0.86291,0.61193,0.29579,0.97016,7.6e-05,7.6e-05,7.6e-05
142,2745.14,0.67378,0.3262,1.02094,0.98096,0.98877,0.99397,0.86109,0.61565,0.29619,0.96834,6.94e-05,6.94e-05,6.94e-05
143,2767.69,0.65035,0.31451,1.01096,0.98373,0.9859,0.99417,0.86511,0.60853,0.29188,0.96395,6.28e-05,6.28e-05,6.28e-05
144,2790.12,0.63284,0.30695,1.01049,0.98186,0.99142,0.99429,0.87626,0.57805,0.28028,0.95228,5.62e-05,5.62e-05,5.62e-05
145,2811.87,0.62713,0.30062,0.99449,0.98354,0.98971,0.99426,0.87491,0.58441,0.28119,0.95317,4.96e-05,4.96e-05,4.96e-05
146,2834,0.62052,0.30281,1.00113,0.98472,0.99057,0.99427,0.87868,0.57874,0.27971,0.95041,4.3e-05,4.3e-05,4.3e-05
147,2850.98,0.61316,0.29723,1.00312,0.98256,0.99167,0.9943,0.88098,0.57183,0.27559,0.94672,3.64e-05,3.64e-05,3.64e-05
148,2867.44,0.61087,0.29537,0.99579,0.984,0.9904,0.99436,0.88075,0.57242,0.27467,0.94678,2.98e-05,2.98e-05,2.98e-05
149,2883.86,0.6046,0.29507,0.99084,0.98075,0.99357,0.99432,0.88314,0.56758,0.2736,0.94496,2.32e-05,2.32e-05,2.32e-05
150,2900.17,0.61029,0.29373,0.99612,0.98117,0.99379,0.99436,0.88516,0.56167,0.27178,0.94216,1.66e-05,1.66e-05,1.66e-05
